Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1Vej0qeQ3ioKwpI6FUbRv1,"Papercut","Hybrid Theory (Bonus Edition)","Linkin Park",2000-10-24,184866,81,false,droebiepoe,2026-02-16T09:44:27Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.524,0.939,9,-3.994,1,0.113,0.00022,0,0.623,0.661,150.184,4
spotify:track:3K4HG9evC7dg3N0R9cYqk4,"One Step Closer","Hybrid Theory (Bonus Edition)","Linkin Park",2000-10-24,157333,84,false,droebiepoe,2026-02-16T09:44:27Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.492,0.969,9,-4.419,1,0.0491,0.0014,0.00000132,0.0787,0.538,95.136,4
spotify:track:5uuXtfqM7Wp3idCxyHeOll,"With You","Hybrid Theory (Bonus Edition)","Linkin Park",2000-10-24,203266,72,false,droebiepoe,2026-02-16T09:44:27Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.421,0.978,6,-4.004,0,0.302,0.0037,0,0.111,0.359,196.921,4
spotify:track:5egqKwgK5r5rvGD1LrtR7J,"Points of Authority","Hybrid Theory (Bonus Edition)","Linkin Park",2000-10-24,200240,73,false,droebiepoe,2026-02-16T09:44:27Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.512,0.97,8,-3.886,0,0.212,0.03,0,0.0994,0.427,94.952,4
spotify:track:57BrRMwf9LrcmuOsyGilwr,"Crawling","Hybrid Theory (Bonus Edition)","Linkin Park",2000-10-24,208960,83,false,droebiepoe,2026-02-16T09:44:27Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.58,0.702,4,-5.565,1,0.0337,0.0466,0.0000032,0.536,0.299,105.076,4
spotify:track:6xtQ23d8GEXgcxyUKPtwc5,"Runaway","Hybrid Theory (Bonus Edition)","Linkin Park",2000-10-24,183973,74,false,droebiepoe,2026-02-16T09:44:27Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.636,0.884,7,-4.743,1,0.0584,0.0142,0,0.253,0.446,109.16,4
spotify:track:6UzeOH4bRPzKTo2wCXMZmC,"By Myself","Hybrid Theory (Bonus Edition)","Linkin Park",2000-10-24,189800,70,false,droebiepoe,2026-02-16T09:44:27Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.544,0.935,6,-4.159,0,0.173,0.0171,0.00301,0.297,0.339,103.026,4
spotify:track:60a0Rd6pjrkxjPbaKzXjfq,"In the End","Hybrid Theory (Bonus Edition)","Linkin Park",2000-10-24,216880,89,false,droebiepoe,2026-02-16T09:44:27Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.556,0.864,3,-5.87,0,0.0584,0.00958,0,0.209,0.4,105.143,4
spotify:track:5rAxhWcgFng3s570sGO2F8,"A Place for My Head","Hybrid Theory (Bonus Edition)","Linkin Park",2000-10-24,184640,77,false,droebiepoe,2026-02-16T09:44:27Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.603,0.908,11,-5.254,1,0.184,0.0144,0,0.671,0.457,133.063,4
spotify:track:7kxM3UJwN6rHAW5kwdlAHK,"Forgotten","Hybrid Theory (Bonus Edition)","Linkin Park",2000-10-24,194426,69,false,droebiepoe,2026-02-16T09:44:27Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.615,0.947,8,-3.817,0,0.11,0.0132,0,0.366,0.498,108.193,4
