TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
0.000000000,0,0,0,0,0,0,0,0,0,0,0,0
0.046439909,0,0,0,0,0,0,0,0,0,0,0,0
0.092879819,0,0,0,0,0,0,0,0,0,0,0,0
0.139319728,0,0,0,0,0,0,0,0,0,0,0,0
0.185759637,0,0,0,0,0,0,0,0,0,0,0,0
0.232199546,0,0,0,0,0,0,0,0,0,0,0,0
0.278639456,0,0,0,0,0,0,0,0,0,0,0,0
0.325079365,0.663683,0.437346,0.382614,0.696422,1.36305,0.00573092,0.057231,0.193749,0.0653549,1.15063,1.12477,0.701859
0.371519274,0.465728,0.434376,0.589042,0.824015,1.29201,0.0105468,0.00648857,0.0941233,0.0211218,1.09139,1.00928,0.55601
0.417959184,0.392888,0.228574,0.858965,0.953049,1.10973,0.181269,0.308454,0.0218319,0.071634,1.00509,0.810721,0.261811
0.464399093,0.407022,0.219681,0.890991,0.667868,1.35502,0.0849419,0.24328,0.0599203,0.133004,0.908751,0.783758,0.359254
0.510839002,0.448171,0.209497,0.749159,0.099937,1.46456,0.172186,0.146626,0.331785,0.09265,1.03901,1.03136,0.410266
0.557278912,0.594245,0.143543,0.459951,0.470695,1.01952,0.239404,0.136023,0.428774,0.100372,1.18679,0.878843,0.320773
0.603718821,0.687349,0.148095,0.397924,0.990962,0.975533,0.225506,0.0769245,0.296674,0.163678,1.32442,0.3871,0.0524389
0.650158730,0.730046,0.034811,0.314952,1.10263,0.799902,0.0798789,0.035349,0.233882,0.251859,1.4055,0.270268,0.108458
0.696598639,0.729868,0.0642131,0.19168,0.820592,0.933906,0,0.0140808,0.188228,0.161311,1.15471,0.447202,0.197141
0.743038549,0.664394,0.115159,0.21497,0.591115,0.950289,0,0.011549,0.30695,0.20173,1.20158,0.656367,0.178845
0.789478458,0.438806,0.132812,0.589592,0.514793,1.0677,0.0182402,0.02275,0.399079,0.215017,1.05447,0.752854,0.282728
0.835918367,0.446725,0.102606,0.753818,0.523341,0.805162,0.0828443,0.0462744,0.22822,0.435526,0.93824,0.636526,0.198295
0.882358277,0.446681,0.0215937,0.596785,0.49643,0.466358,0.256603,0.345355,0.222401,0.791337,0.95808,0.512423,0.227487
0.928798186,0.495376,0.0804083,0.506829,0.440023,0.853515,0.200784,0.591142,0.187914,0.840454,0.670645,0.545141,0.0213613
0.975238095,0.528599,0.14688,0.262442,0.201593,1.6141,0.275043,0.392375,0.177115,0.766021,0.322009,0.653314,0
1.021678005,0.46043,0.549909,0.414685,0.321285,1.87031,0.243757,0.218094,0.150734,0.656519,0.309998,0.508628,0
1.068117914,0.391888,0.603599,0.814807,0.464796,1.79261,0.0944214,0.25864,0.149886,0.353948,0.379458,0.762379,0
1.114557823,0.372963,0.38661,0.819527,0.578843,1.41054,0.0750187,0.161759,0.450036,0.662917,0.609971,0.780406,0.213602
1.160997732,0.366726,0.160601,0.236364,0.733927,1.34015,0.125072,0.23346,0.696553,0.653042,0.68002,0.696352,0.0868657
1.207437642,0.404326,0.274223,0.185432,0.803354,1.57236,0.102317,0.213859,0.836994,0.162472,0.54883,0.43674,0
1.253877551,0.350816,0.125407,0.46208,0.650083,1.87378,0,0.0549079,0.697129,0.114846,0.837784,0.69295,0
1.300317460,0.331309,0.0276123,0.69787,0.327103,1.87098,0,0,0.560634,0.332931,0.940828,1.06207,0.280295
1.346757370,0.486024,0.174153,0.628404,0.37396,1.63627,0,0.166435,0.352627,0.0921525,0.962826,1.15369,0.470856
1.393197279,0.882762,0.220666,0.477016,0.658584,1.43006,0.00493998,0.404516,0.196689,0.0257401,0.905517,1.02196,0.723479
1.439637188,0.921744,0.259989,0.454406,0.884127,1.1355,0.00565898,0.333336,0.107172,0.036168,0.995645,0.990035,1.01897
1.486077098,0.508578,0.185854,0.570283,0.921229,1.08881,0.0212888,0.0335524,0.0634148,0.32997,1.14649,1.02653,0.919394
1.532517007,0.329511,0.102987,0.603795,0.781709,1.17961,0.0966772,0.0819181,0,0.276461,1.08745,0.98798,0.478055
1.578956916,0.327527,0.288867,0.511459,0.591198,1.3633,0.163528,0.306392,0.230777,0.23554,1.00364,0.881202,0.0919956
1.625396825,0.365559,0.484735,0.343537,0.167479,1.53223,0.195831,0.218127,0.44793,0.425792,1.16622,0.980666,0.0658881
1.671836735,0.585233,0.55917,0.31828,0.383719,1.1012,0.16613,0.317908,0.379108,0.405529,1.1931,0.931884,0.00938718
1.718276644,0.721042,0.409573,0.322467,0.98928,0.605337,0.138026,0.339632,0.21849,0.487798,1.06105,0.412028,0
1.764716553,0.769547,0.200171,0.226373,1.14113,0.718541,0.0487347,0.058275,0.229347,0.506095,0.892351,0.188911,0
1.811156463,0.70343,0.134705,0.275353,0.856431,0.963657,0.0125914,0.0253352,0.331312,0.349871,0.88638,0.428828,0
1.857596372,0.536095,0.0900445,0.318723,0.625529,1.10801,0.0164471,0.0148556,0.411785,0.383869,0.577173,0.980464,0
