Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3pBTef2M3TVJUCveD45nib,"You're Welcome - From ""Moana""/Soundtrack Version","Disney AUX Throwback","Dwayne Johnson;Disney",2025-12-05,164866,65,false,,2026-01-29T18:42:06Z,"","UME - Global Clearing House",0.785,0.737,5,-7.094,1,0.268,0.271,0,0.0391,0.69,135.236,4
spotify:track:0qcr5FMsEO85NAQjrlDRKo,"Let It Go - From ""Frozen""/Soundtrack Version","Frozen (Original Motion Picture Soundtrack / Deluxe Edition)","Idina Menzel",2013-01-01,223840,78,false,,2026-01-29T18:42:06Z,"musicals","Walt Disney Records",0.543,0.485,8,-6.79,1,0.0305,0.555,0,0.12,0.372,136.961,4
spotify:track:1RxnarBaLERmqnGNmOCoCD,"Zoo","Zootropolis 2 (Original Motion Picture Soundtrack)","Disney;Shakira",2025-11-21,190822,72,false,,2026-01-29T18:42:06Z,"latin pop","Walt Disney Records",0.841,0.818,2,-5.072,1,0.0968,0.319,0,0.166,0.902,129.035,4
spotify:track:6WQyAlZ8sYKvyvSwgX85TO,"I Always Wanted A Brother","Mufasa: The Lion King (Original Motion Picture Soundtrack/Deluxe Edition)","Braelyn Rankins;Theo Somolu;Aaron Pierre;Kelvin Harrison Jr.;Disney",2024-12-13,214506,66,false,,2026-01-29T18:42:06Z,"","Walt Disney Records",0.755,0.695,6,-7.518,1,0.0887,0.543,0,0.071,0.692,124.067,4
spotify:track:52xJxFP6TqMuO4Yt0eOkMz,"We Don't Talk About Bruno","Encanto (Original Motion Picture Soundtrack)","Carolina Gaitán - La Gaita;Mauro Castillo;Adassa;Rhenzy Feliz;Diane Guerrero;Stephanie Beatriz;Encanto - Cast",2021-11-19,216120,74,false,,2026-01-29T18:42:06Z,"","Walt Disney Records",0.577,0.45,0,-8.516,0,0.0834,0.357,0,0.111,0.83,205.863,4
spotify:track:3KzemxaWSSiYtnzOokd0Rs,"How Far I'll Go","Vaiana (English Version/Original Motion Picture Soundtrack/Deluxe Edition)","Auli'i Cravalho;Disney",2016-11-18,163386,62,false,,2026-01-29T18:42:06Z,"","Walt Disney Records",0.574,0.31,4,-10.976,1,0.0482,0.61,0,0.209,0.123,83.706,4
spotify:track:70b5Sq3ePOu3Gqg0hjlOtR,"For the First Time in Forever - From ""Frozen""/Soundtrack Version","Frozen (Original Motion Picture Soundtrack / Deluxe Edition)","Kristen Bell;Idina Menzel",2013-01-01,225080,70,false,,2026-01-29T18:42:06Z,"musicals","Walt Disney Records",0.354,0.411,0,-6.018,1,0.0344,0.815,0,0.106,0.43,90.813,4
spotify:track:6oYkwjI1TKP9D0Y9II1GT7,"Under the Sea","The Little Mermaid Special Edition","Samuel E. Wright;Disney",2006-01-01,195146,70,false,,2026-01-29T18:42:06Z,"","Walt Disney Records",0.727,0.474,10,-14.667,1,0.138,0.705,0,0.105,0.828,99.966,4
spotify:track:3qrH2YFnbEiQeUe4wzgOuP,"Try Everything - From ""Zootropolis""","Try Everything (From ""Zootropolis"")","Shakira",2016-02-05,196706,73,false,,2026-01-29T18:42:06Z,"latin pop","Walt Disney Records",0.704,0.598,1,-4.922,1,0.0309,0.0283,0,0.106,0.472,115.483,4
spotify:track:0OFknyqxmSQ42SoKxWVTok,"Un Poco Loco","Coco (Original Motion Picture Soundtrack)","Anthony Gonzalez;Gael Garcia Bernal",2017-11-10,112205,69,false,,2026-01-29T18:42:06Z,"","Walt Disney Records",0.62,0.497,7,-7.509,1,0.133,0.597,0.0000136,0.322,0.636,126.021,4
spotify:track:7tUSJY4nsDBJTjd1UXKRsT,"Part of Your World","The Little Mermaid Special Edition","Jodi Benson;Disney",2006-01-01,195493,70,false,,2026-01-29T18:42:06Z,"","Walt Disney Records",0.275,0.144,5,-14.516,1,0.0481,0.92,0.000423,0.29,0.302,61.557,5
spotify:track:760jhRscwGbIIe1m1IIQpU,"Surface Pressure","Encanto (Original Motion Picture Soundtrack)","Jessica Darrow",2021-11-19,202226,69,false,,2026-01-29T18:42:06Z,"","Walt Disney Records",0.65,0.584,2,-8.286,1,0.307,0.0174,0.00000154,0.042,0.37,180.088,4
