Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:23m5rUpKrW85DNikaGm7j8,"From Zero (Intro)","From Zero (Deluxe Edition)","Linkin Park",2025-05-16,22174,15,false,droebiepoe,2026-02-16T09:41:27Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.337,0.139,7,-18.884,1,0.165,0.621,0.0000052,0.251,0,82.621,3
spotify:track:3AA50LilsWIK5HstsdUa0I,"The Emptiness Machine","From Zero (Deluxe Edition)","Linkin Park",2025-05-16,190427,63,true,droebiepoe,2026-02-16T09:41:27Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.466,0.872,7,-3.344,1,0.0336,0.0156,0,0.121,0.806,184.115,4
spotify:track:0UoGxTum73Mmvk9UuCqakG,"Cut the Bridge","From Zero (Deluxe Edition)","Linkin Park",2025-05-16,228606,61,false,droebiepoe,2026-02-16T09:41:27Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.622,0.936,7,-2.72,0,0.067,0.0212,0.00000309,0.242,0.743,75.024,4
spotify:track:0Fd4oSOZ2nHtdHOkgyI4qz,"Heavy Is the Crown","From Zero (Deluxe Edition)","Linkin Park",2025-05-16,167012,62,false,droebiepoe,2026-02-16T09:41:27Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.571,0.928,4,-3.725,0,0.0453,0.00932,0,0.297,0.489,127.939,4
spotify:track:4EPLnVE718rJDzSYlEU85R,"Over Each Other","From Zero (Deluxe Edition)","Linkin Park",2025-05-16,170445,61,false,droebiepoe,2026-02-16T09:41:27Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.55,0.789,10,-4.634,1,0.0382,0.00241,0,0.428,0.317,147.947,4
spotify:track:7iMsm86etNshj6IUgMnpuO,"Casualty","From Zero (Deluxe Edition)","Linkin Park",2025-05-16,140915,61,false,droebiepoe,2026-02-16T09:41:27Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.576,0.948,2,-4.082,1,0.173,0.00467,0.00838,0.322,0.5,159.928,4
spotify:track:2Yh356WJoVcWleiWRFoLUa,"Overflow","From Zero (Deluxe Edition)","Linkin Park",2025-05-16,211027,59,false,droebiepoe,2026-02-16T09:41:27Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.515,0.654,8,-6.349,1,0.0492,0.116,0.000103,0.0966,0.305,133.916,4
spotify:track:2fiabxMbdC8AX3iY6zbYRZ,"Two Faced","From Zero (Deluxe Edition)","Linkin Park",2025-05-16,183584,60,false,droebiepoe,2026-02-16T09:41:27Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.51,0.945,1,-5.405,1,0.0807,0.000658,0.0000048,0.0413,0.323,91.906,4
spotify:track:5z3vP51vxtwwCaAwym4z3z,"Stained","From Zero (Deluxe Edition)","Linkin Park",2025-05-16,185414,60,false,droebiepoe,2026-02-16T09:41:27Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.516,0.868,6,-5.148,1,0.0968,0.0134,0,0.509,0.375,91.97,4
spotify:track:1Qb2KRdSyk4UtRsbUAW6IG,"IGYEIH","From Zero (Deluxe Edition)","Linkin Park",2025-05-16,209083,59,false,droebiepoe,2026-02-16T09:41:27Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.442,0.968,2,-3.417,1,0.126,0.00227,0.0000153,0.296,0.308,159.974,4
spotify:track:7smscq05iWstwxPxZgN0rl,"Good Things Go","From Zero (Deluxe Edition)","Linkin Park",2025-05-16,209844,59,true,droebiepoe,2026-02-16T09:41:27Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.541,0.757,2,-5.37,0,0.0421,0.00867,0,0.136,0.307,127.005,4
spotify:track:2SwdMXPvGdciXamSjfoNH9,"Up From the Bottom","From Zero (Deluxe Edition)","Linkin Park",2025-05-16,183223,74,false,droebiepoe,2026-02-16T09:41:27Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.615,0.937,5,-3.362,0,0.044,0.00698,0,0.242,0.601,107.018,4
spotify:track:6r2JE3s7XVnGfwiWCymyWf,"Unshatter","From Zero (Deluxe Edition)","Linkin Park",2025-05-16,196112,65,false,droebiepoe,2026-02-16T09:41:27Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.491,0.969,6,-3.421,0,0.193,0.000568,0,0.925,0.329,145.023,4
spotify:track:3GZt2N9dSfNCL6ArCFDpOc,"Let You Fade","From Zero (Deluxe Edition)","Linkin Park",2025-05-16,208739,66,false,droebiepoe,2026-02-16T09:41:27Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.358,0.952,0,-3.712,1,0.33,0.0079,0,0.0619,0.123,163.676,4
