Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1h2xVEoJORqrg71HocgqXd,"Superstition - Single Version","The Definitive Collection","Stevie Wonder",2002-10-29,245493,75,false,droebiepoe,2024-09-08T21:19:43Z,"motown,classic soul,soul","UNI/MOTOWN",0.633,0.634,8,-12.115,1,0.0725,0.038,0.0064,0.0385,0.872,100.499,4
spotify:track:5CMjjywI0eZMixPeqNd75R,"Lose Yourself to Dance (feat. Pharrell Williams)","Random Access Memories","Daft Punk;Pharrell Williams",2013-05-20,353893,70,false,droebiepoe,2024-09-08T21:19:52Z,"french house,electronic,electro","Columbia",0.832,0.659,10,-7.828,0,0.057,0.0839,0.00114,0.0753,0.674,100.163,4
spotify:track:3Vby4nGmtbDo7HDJamOWkT,"Stuck In The Middle With You","Stealers Wheel","Stealers Wheel",1972-01-01,208946,76,false,droebiepoe,2024-09-08T21:20:13Z,"","UMC (Universal Music Catalogue)",0.82,0.575,7,-9.144,1,0.0408,0.0936,0.000135,0.109,0.964,123.765,4
spotify:track:3kXoKlD84c6OmIcOLfrfEs,"September","September (sped up + slowed)","Earth, Wind & Fire",1978-11-18,216022,81,false,droebiepoe,2024-09-08T21:20:29Z,"funk,disco","Columbia/Legacy",0.674,0.832,9,-7.892,1,0.0308,0.146,0.00000506,0.138,0.981,125.996,4
spotify:track:6ztstiyZL6FXzh4aG46ZPD,"Boogie Wonderland (with The Emotions)","I Am","Earth, Wind & Fire;The Emotions",1979-06,288408,81,false,droebiepoe,2024-09-08T21:20:44Z,"funk,disco,motown","Columbia/Legacy",0.802,0.756,2,-10.791,0,0.0349,0.0843,0.00765,0.0521,0.963,131.715,4
spotify:track:1QvWxgZvTU0w8rlPRE5Zrv,"Don't You Worry 'Bout A Thing","Innervisions","Stevie Wonder",1973-08-03,284840,63,false,droebiepoe,2024-09-08T21:20:53Z,"motown,classic soul,soul","Motown",0.714,0.726,11,-9.218,1,0.0408,0.0316,0,0.066,0.92,124.71,4
spotify:track:3qI94hINNNeb4S7xQi18lS,"Blame It on the Boogie","Destiny","The Jacksons",1978-12-17,215319,74,false,droebiepoe,2024-09-08T21:20:57Z,"disco,motown,philly soul","Epic",0.774,0.641,1,-10.193,1,0.0799,0.0765,0,0.0867,0.875,113.256,4
spotify:track:55GxhCTq6SY3tFTVh7z1nR,"Dancing In The Moonlight","Dancing In The Moonlight","King Harvest",1973-01-01,178045,58,false,droebiepoe,2024-09-08T21:21:18Z,"","Universal Music Division Mercury Records",0.653,0.719,10,-5.262,1,0.0363,0.684,0,0.408,0.682,136.153,4
spotify:track:0Dm43YLUlGdePpSbI1ct8h,"Part-Time Lover","In Square Circle","Stevie Wonder",1985-09-13,252560,74,false,droebiepoe,2024-09-08T21:21:48Z,"motown,classic soul,soul","Motown",0.662,0.624,10,-13.606,0,0.0417,0.165,0,0.0674,0.961,174.513,4
spotify:track:2Foc5Q5nqNiosCNqttzHof,"Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers]","Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers]","Daft Punk;Pharrell Williams;Nile Rodgers",2013-04-19,247632,80,false,droebiepoe,2024-09-08T21:25:07Z,"french house,electronic,electro","Columbia",0.794,0.811,6,-8.966,0,0.038,0.0426,0.00000107,0.101,0.862,116.047,4
spotify:track:5W3cjX2J3tjhG8zb6u0qHn,"Harder, Better, Faster, Stronger","Discovery","Daft Punk",2001-03-12,226413,75,false,droebiepoe,2024-09-08T21:25:19Z,"french house,electronic,electro","Daft Life Ltd./ADA France",0.817,0.716,6,-8.898,0,0.144,0.0427,0.00263,0.358,0.692,123.474,4
spotify:track:38DAUnVJ0zqOdRuW7RG3sl,"Why Did You Do It - Remastered","Elastique (Remastered)","Stretch",1975,211906,49,false,droebiepoe,2024-09-08T21:25:46Z,"funk","Repertoire Records",0.748,0.755,6,-7.28,0,0.0782,0.0554,0,0.0628,0.886,98.284,4
spotify:track:7nuBU1HCcOwG5f1orN4ByW,"A Night Like This","Deleted Scenes From The Cutting Room Floor","Caro Emerald",2010-01-29,225931,57,false,droebiepoe,2024-09-08T21:26:21Z,"electro swing,swing music","MVKA",0.87,0.706,1,-5.769,1,0.0417,0.56,0,0.104,0.953,122.98,4
spotify:track:5ChkMS8OtdzJeqyybCc9R5,"Billie Jean","Thriller 25 Super Deluxe Edition","Michael Jackson",2008-02-08,293826,79,false,droebiepoe,2024-09-08T21:27:09Z,"","Epic/Legacy",0.92,0.654,11,-3.051,0,0.0401,0.0236,0.0153,0.036,0.847,117.046,4
spotify:track:5NlFXQ0si6U87gXs6hq81B,"Candy","Take The Crown (Deluxe Edition)","Robbie Williams",2012-11-05,201053,68,false,droebiepoe,2024-09-09T07:53:33Z,"","Farrell Music Ltd",0.715,0.791,10,-6.63,1,0.0414,0.0368,0,0.0694,0.879,116.043,4
spotify:track:7tqhbajSfrz2F7E1Z75ASX,"Ain't No Mountain High Enough","United","Marvin Gaye;Tammi Terrell",1967-08-29,151666,84,false,droebiepoe,2024-09-09T12:40:29Z,"motown,classic soul,soul,northern soul,quiet storm","UNI/MOTOWN",0.663,0.6,7,-10.87,1,0.032,0.43,0,0.184,0.797,129.987,4
spotify:track:6UXXeFqMBGiqjkzQzkMT3E,"Tragedy","Spirits Having Flown","Bee Gees",1979-02-05,303333,71,false,droebiepoe,2024-10-05T14:45:03Z,"disco","Bee Gees Catalog",0.665,0.532,11,-10.792,0,0.0278,0.0871,0.00993,0.296,0.825,117.954,4
spotify:track:5EOoMWIB9iK4ZpcSex9Ec7,"Old Time Rock & Roll","Stranger In Town","Bob Seger",1978-05-05,194146,75,false,droebiepoe,2024-10-20T14:22:57Z,"classic rock","Bob Seger",0.714,0.937,6,-2.947,1,0.0399,0.206,0,0.0731,0.964,124.13,4
