Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6LmJveujH62bfOGrSC9T8y,"Cheeki Breeki","Cheeki Breeki","Dev1st",2017-10-20,71550,0,false,droebiepoe,2021-06-15T15:56:27Z,"","Dev1st",0.633,0.986,7,-8.01,1,0.123,0.0496,0.859,0.657,0.0752,159.888,4
spotify:track:3ntnQdL7EkN2fsTIjcdZuJ,"Red Roubles","Hard Bass Is Back","XS Project;Life of Boris",2018-03-11,238500,0,false,droebiepoe,2021-06-15T16:01:19Z,"","XS Project",0.741,0.879,11,-4.623,0,0.129,0.00578,0.0141,0.0615,0.779,150.046,4
spotify:track:3Te1Q5HIdkrb0wN7oh3pXl,"Night in Pripyat","Night in Pripyat","DJ Blyatman;XS Project",2019-01-24,219700,16,false,droebiepoe,2021-06-18T21:52:52Z,"","DJ Blyatman",0.704,0.905,9,-4.559,1,0.0511,0.0136,0.154,0.104,0.272,150.016,4
spotify:track:5i26iwsa78zSsDm120WdsI,"Gopnik","Hardkvas","DJ Blyatman",2017-04-15,192136,0,true,droebiepoe,2021-06-18T21:52:56Z,"","DJ Blyatman",0.506,0.857,5,-9.03,1,0.088,0.338,0.561,0.0997,0.597,149.987,4
spotify:track:4f7vGgVjerG05EYcERENDb,"Generation Hardbass","Generation Hardbass","DJ Blyatman;Life of Boris",2018-08-08,246575,0,false,droebiepoe,2021-06-18T21:53:02Z,"","DJ Blyatman",0.735,0.901,0,-6.602,1,0.354,0.266,0.00343,0.506,0.695,74.947,4
spotify:track:4EYpUo1xhDRdburHyvAyEm,"Slav King","Slav King","DJ Blyatman;Life of Boris",2017-06-22,187312,0,false,droebiepoe,2021-06-18T21:53:04Z,"","DJ Blyatman",0.73,0.632,4,-14.24,1,0.0622,0.15,0.0125,0.0809,0.325,145.026,4
spotify:track:0QrblSNhFWUke8aGCVngK3,"Nash Gimn","The Album (Mixed)","Hard Bass School",2018-05-29,216114,50,false,droebiepoe,2021-06-18T21:53:06Z,"","Hard Bass School",0.814,0.968,1,-4.423,1,0.235,0.0153,0.00125,0.359,0.626,150.036,4
spotify:track:6teQORVSc9h94ldfTPXOML,"Narkotik Kal","The Album (Mixed)","Hard Bass School",2018-05-29,228600,50,false,droebiepoe,2021-06-18T21:53:08Z,"","Hard Bass School",0.843,0.99,11,-3.154,1,0.305,0.0181,0,0.272,0.692,150.057,4
spotify:track:3gh7qkwrUmBHGlLv82oDby,"Tsar Bomb","Hardkvas","DJ Blyatman",2017-04-15,207003,0,false,droebiepoe,2021-06-18T21:53:14Z,"","DJ Blyatman",0.699,0.995,11,-6.374,0,0.201,0.653,0.924,0.139,0.0865,159.978,4
spotify:track:02eCYIVzsBuIMyuLukfrCn,"Ruski Slav","Ruski Slav","Dev1st",2017-09-11,175177,0,false,droebiepoe,2021-06-18T21:56:57Z,"","Dev1st",0.751,0.812,0,-7.329,1,0.108,0.000522,0.841,0.154,0.527,155.092,4
