TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
0.000000000,1.58246,0.30806,0.66415,0.0069468,0.33287,2.04852,0.602717,0.142953,0.321778,0.511778,0,0
0.042666667,1.50787,0.122672,0.743843,0.0310825,0.186936,2.46882,0.666061,0.271643,0.505035,0.586819,0,0.000369346
0.085333333,1.36835,0.0474019,0.717285,0.133815,0.240698,2.77045,0.64155,0.215416,0.532698,0.742419,0,0.0341903
0.128000000,1.0167,0.0651979,0.589281,0.14824,0.253491,2.91807,0.253236,0.0431315,0.300234,0.837586,0.44819,0.162608
0.170666667,1.01056,0.0769298,0.579516,0.0873327,0.241414,2.77672,0.178502,0.044339,0.451793,0.853147,0.756511,0.138111
0.213333333,1.05841,0.0770703,0.543756,0.0654331,0.185901,2.78724,0.200043,0.0513057,0.389806,0.836599,0.805736,0.127182
0.256000000,1.12755,0.0356428,0.557813,0.107565,0.0586951,2.90186,0.492193,0.0374485,0.263003,0.846806,0.219315,0.0827489
0.298666667,1.30581,0.0257833,0.614715,0.107632,0,2.89508,0.621642,0.00906758,0.0655175,0.891628,0.181492,0.578037
0.341333333,1.24011,0.0584393,0.685955,0.091608,0.00480049,2.99838,0.559741,0.00682307,0.0976435,0.993232,0.160357,0.712144
0.384000000,1.27531,0.0961165,0.707285,0.094139,0.0168324,2.66302,0.74445,0.00970916,0.122169,1.08706,0.127366,0.50224
0.426666667,1.23636,0.107146,0.739993,0.0892935,0.115507,2.39123,0.772794,0.0153333,0.180379,1.32297,0.13464,0.0757717
0.469333333,1.08536,0.162785,0.63138,0.0801317,0.153007,2.43438,0.574233,0.0121319,0.0330881,1.39888,0.122827,0.0562052
0.512000000,0.867841,0.163623,0.644419,0.150823,0.156769,2.55315,0.358735,0,0.0333767,1.20309,0.18517,0.091389
0.554666667,0.943024,0.105831,0.820602,0.266228,0.0947471,2.39811,0.317351,0,0.0283006,1.01714,0.9026,0.132218
0.597333333,1.35605,0,0.894053,0.345482,0.018783,2.19526,0.670866,0.00792151,0.019918,0.979498,0.684891,0.137957
0.640000000,1.69287,0,0.931705,0.235455,0.0155696,2.10385,0.902531,0.0222989,0.103509,0.833174,0.288812,0.0947707
0.682666667,1.86767,0,0.950656,0.104176,0.0179383,2.19281,1.00165,0.153108,0.156647,0.640293,0.108027,0.038926
0.725333333,1.92559,0,0.952204,0.0735229,0.0231895,2.28722,1.05845,0.121083,0.0655643,0.556851,0.099429,0.0429926
0.768000000,1.64382,0,1.06189,0.0573753,0.209448,2.49323,0.90378,0.0329822,0.0643561,0.611463,0.107967,0.0966515
0.810666667,1.32154,0.0179015,1.07461,0.0740534,0.415808,2.8298,0.388384,0.0363693,0.179531,0.673984,0.100369,0.0246645
0.853333333,1.50286,0.0101559,0.905857,0.128905,0.427021,2.85464,0.230407,0.0169278,0.303755,0.660406,0.0387333,0.127421
0.896000000,1.46243,0.000896945,0.704109,0.173384,0.32336,2.80574,0.400994,0.00492132,0.24919,0.825782,0.0560245,0.2084
0.938666667,1.29357,0.000781601,0.773576,0.182936,0.054095,2.70221,0.973053,0.012631,0.128964,1.21496,0.0953454,0.172849
0.981333333,1.19654,0,1.03311,0.240203,0.0128323,2.60193,1.00568,0.0207058,0.0499638,1.18816,0.0953738,0.278036
1.024000000,1.38983,0,1.06342,0.147455,0.020933,2.70267,0.739779,0.0162155,0.0137636,1.31353,0.0579511,0.496833
1.066666667,1.46097,0,0.850194,0.136517,0.0172635,2.88718,0.437824,0.138283,0.0128543,1.28914,0.0283909,0.522932
1.109333333,1.39736,0.0349193,0.682303,0.172402,0.080074,3.19122,0.139356,0.261733,0.0201841,0.893439,0.0588259,0.474455
1.152000000,1.04904,0.0300983,0.60464,0.217484,0.11409,3.58945,0.100991,0.299746,0.020885,0.786849,0.0814698,0.417245
1.194666667,1.22368,0.0293782,0.564895,0.24389,0.0347421,3.59787,0.0837305,0.178317,0.0116574,0.772553,0.0847302,0.488011
1.237333333,1.43948,0.0227975,0.535862,0.289106,0.0112049,3.48557,0.0836006,0.0546324,0.00458205,1.00615,0.0672019,0.565253
