TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
0.000000000,0,0,0,0,0,0,0,0,0,0,0,0
0.042666667,0,0,0,0,0,0,0,0,0,0,0,0
0.085333333,0,0,0,0,0,0,0,0,0,0,0,0
0.128000000,0,0,0,0,0,0,0,0,0,0,0,0
0.170666667,0.285367,0.217165,0.000841984,0.607757,0.599742,0.920659,0.271183,0.331932,0.0952931,0.701321,1.53103,1.30064
0.213333333,0.12559,0.0255695,0.300285,0.569607,1.46903,0.573135,0.607646,0.15157,0.0702364,0.00462063,1.81621,1.5769
0.256000000,1.6879,0.783609,0.876505,0.206271,0.291211,0.359298,0,0.0604814,0.0460729,0.0510633,0.627407,1.40131
0.298666667,0.838449,0.371788,0.951552,0.462259,0.987604,1.57773,0.151997,0.0879516,0.0214798,0.18261,1.05434,0.955668
0.341333333,0.498852,0.0440158,0.949221,0.737841,0.828574,1.51085,0.520893,0.145783,0,0.219876,0.788015,1.42884
0.384000000,1.297,0.00332999,0.850999,0.638543,0.802063,0.759255,0.525143,0.497225,0.0190906,0.239263,0.343894,1.39481
0.426666667,2.3736,0.00368143,0.368279,0.585774,0.96033,0.456296,0.640665,0.613474,0,0.22701,0.0348381,0.663785
0.469333333,2.7291,0.0451631,0.205493,0.128178,0.496089,0.553296,0.46719,0.795891,0.130157,0.580381,0.133909,0.359018
0.512000000,2.74978,0.150755,0.176508,0.147173,0.376996,0.00874676,0.309968,1.21164,0.13085,0.815379,0.168014,0.000455981
0.554666667,2.75876,0.261076,0.290927,0.0131033,0.423254,0.0128328,0.0624083,1.32188,0.137621,0.826191,0.0800208,0.372625
0.597333333,2.2882,0.136033,0.286519,0.0499319,0.3283,0.159363,0.0212553,1.56849,0.452212,0.710528,0.239315,0.344883
0.640000000,2.2273,0.154913,0.387416,0.360369,0,0.115764,0.000818778,1.7512,0.461609,0.53144,0.307794,0.151678
0.682666667,3.05596,0.229114,0.442786,0.0855143,0.0165384,0.00945148,0.0059751,1.63815,0.320725,0.535086,0.344584,0
0.725333333,3.67525,0.278937,0.302004,0.0990866,0.110728,0.00733536,0.00790354,1.5418,0.108081,0.75088,0.356439,0
0.768000000,4.00836,0.414512,0.216802,0.0540377,0.30309,0.01026,0.0202332,1.38341,0.0409152,0.571829,0.670023,0
0.810666667,4.00129,0.282723,0.280411,0.0259712,0.535497,0.0188369,0.103882,1.0865,0.0868781,0.0923701,0.671054,0
0.853333333,4.03651,0.0479337,0.236249,0.107583,0.758871,0.0224769,0.015306,1.0962,0.113186,0.150108,0.341024,0.132336
0.896000000,4.04351,0.00225774,0.216221,0.00281064,0.763087,0.0627136,0.0703077,1.15973,0.263546,0.269073,0.195416,0.104483
0.938666667,3.92389,0.00141875,0.213382,0.0108094,0.756919,0.0663357,0.20405,1.19843,0.713312,0.201353,0.17275,0.0482352
0.981333333,3.39626,0,0.252596,0.0248569,0.774839,0.00847107,0.220484,1.40221,0.921803,0.116919,0.126069,0.638551
1.024000000,3.13768,0.102769,0.353875,0.0329674,0.49096,0,0.222875,1.07301,0.754258,0.142098,0.0126452,0.974233
