TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
0.000000000,0.000542015,1.31445,0.124035,0.133087,2.03754,0.596721,1.22841,0.589726,0.030995,0.130445,0.388527,0.531872
0.046439909,0.000552186,1.35563,0.122594,0.286392,1.85633,1.0666,1.03019,0.644344,0.0970226,0.0740748,0.284651,0.293186
0.092879819,0.00432719,1.25618,0.177958,0.493304,1.6758,1.30156,1.20987,0.636502,0.288517,0.0850255,0.264691,0.222559
0.139319728,0.0190185,1.36807,0.132025,0.632208,2.36383,0.694648,1.10799,0.52763,0.295828,0.35133,0.238789,0.0112366
0.185759637,0.0460619,1.16341,0.182057,0.515631,2.76679,0.0226487,0.851623,0.686611,0.222,0.547847,0.373888,0.0191522
0.232199546,0.314997,0.982394,0.0983155,0.286335,2.93055,0.0195015,0.277353,0.849015,0.02634,0.683494,0.609026,0.078949
0.278639456,0.293972,1.02574,0.0214027,0,2.86606,0.0150949,0.138506,0.785015,0.0250861,0.731086,0.662493,0.381369
0.325079365,0.0404683,0.865485,0.050213,0.197338,2.35011,0.655933,0.21845,0.973061,0.0264037,0.65635,0.201286,0.775128
0.371519274,0.0348125,0.713038,0.0936982,0.408254,2.32666,1.56306,0.382238,0.793283,0.0264321,0.537896,0.034614,0.899555
0.417959184,0.092887,0.823933,0.100668,0.167441,2.38801,1.71769,0.508228,0.615362,0.0217675,0.50162,0.312829,0.985394
0.464399093,0.000465128,1.05865,0.0872882,0.028481,2.82302,1.49078,0.60372,0.440982,0.0168374,0.465306,0.478829,0.935953
0.510839002,0.0187849,1.32264,0.0464185,0.208554,3.24729,0.84201,0.531857,0.522711,0.0136317,0.471949,0.544964,0.792958
0.557278912,0.0128026,1.22238,0.0800662,0.112547,3.20895,0.47154,0.351053,0.78317,0.0101693,0.483081,0.394886,0.767441
0.603718821,0.121156,0.996348,0.366486,0.0780093,2.91156,0.615796,0.103052,0.881924,0.00546802,0.446463,0.0154224,0.858738
