Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4hbpxoMCp62bd1sdy7XehS,"Foreword","Meteora","Linkin Park",2003-03-25,13440,7,false,droebiepoe,2026-03-26T18:43:50Z,"nu metal,rap metal,rock,alternative metal","Warner Records",,,,,,,,,,,,
spotify:track:6HZdbb05lEXLvcmee3ZXO2,"Don't Stay","Meteora","Linkin Park",2003-03-25,187933,63,false,droebiepoe,2026-03-26T18:43:50Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.488,0.995,1,-3.096,0,0.109,0.00153,0,0.911,0.679,90.055,4
spotify:track:3agtg0x11wPvLIWkYR39nZ,"Somewhere I Belong","Meteora","Linkin Park",2003-03-25,213933,81,false,droebiepoe,2026-03-26T18:43:50Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.451,0.951,1,-3.754,1,0.0645,0.000386,0.00000256,0.261,0.441,162.041,4
spotify:track:4zP2e2aIzOZGEFTq1MDJmm,"Lying from You","Meteora","Linkin Park",2003-03-25,175053,64,false,droebiepoe,2026-03-26T18:43:50Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.531,0.952,3,-3.361,0,0.205,0.007,0,0.0672,0.76,160.125,4
spotify:track:3R9NKZ4jmxNjOFihSF5s7f,"Hit the Floor","Meteora","Linkin Park",2003-03-25,164213,61,false,droebiepoe,2026-03-26T18:43:50Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.74,0.96,9,-3.692,1,0.193,0.063,0,0.0444,0.868,150.006,4
spotify:track:17bgialGAwoiGj1STY4cnR,"Easier to Run","Meteora","Linkin Park",2003-03-25,204173,60,false,droebiepoe,2026-03-26T18:43:50Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.546,0.861,3,-4.819,0,0.0341,0.0625,0,0.131,0.279,105.024,4
spotify:track:4Yf5bqU3NK4kNOypcrLYwU,"Faint","Meteora","Linkin Park",2003-03-25,162106,87,false,droebiepoe,2026-03-26T18:43:50Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.554,0.98,4,-3.514,1,0.108,0.127,0,0.0833,0.611,135.12,4
spotify:track:2DrMcGNKEY0FZqjMovGaCm,"Figure.09","Meteora","Linkin Park",2003-03-25,197506,63,false,droebiepoe,2026-03-26T18:43:50Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.499,0.95,9,-3.198,1,0.0639,0.00903,0,0.148,0.53,98.019,4
spotify:track:6n8TMVyFKoUmDc4apxceRD,"Breaking the Habit","Meteora","Linkin Park",2003-03-25,196133,72,false,droebiepoe,2026-03-26T18:43:50Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.58,0.865,4,-4.359,0,0.0313,0.105,0,0.106,0.587,100.016,4
spotify:track:60IkVf7UfQXmt5CwkpcX8a,"From the Inside","Meteora","Linkin Park",2003-03-25,175506,68,false,droebiepoe,2026-03-26T18:43:50Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.448,0.967,1,-2.852,0,0.0804,0.045,0,0.575,0.361,94.984,3
spotify:track:4m1P1BSg9nLxaWbvPhNdhw,"Nobody's Listening","Meteora","Linkin Park",2003-03-25,178866,59,false,droebiepoe,2026-03-26T18:43:50Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.502,0.832,6,-3.723,0,0.296,0.105,0.00000115,0.174,0.452,199.958,3
spotify:track:3sbezh9MMCQrr4KY7zw13j,"Session","Meteora","Linkin Park",2003-03-25,144733,56,false,droebiepoe,2026-03-26T18:43:50Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.573,0.961,10,-5.66,1,0.0507,0.0533,0.91,0.353,0.188,98.006,4
spotify:track:2nLtzopw4rPReszdYBJU6h,"Numb","Meteora","Linkin Park",2003-03-25,187520,89,false,droebiepoe,2026-03-26T18:43:50Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.488,0.87,6,-4.185,0,0.0421,0.00353,0,0.484,0.211,110.072,4
