TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
0.000000000,0.0924357,0.69614,0.172172,1.14697,0.104434,0.987499,0.450304,0.892971,0.531287,1.50269,0.202097,0.448846
0.046439909,0.000294574,0.616915,0.214838,1.05572,0.164229,1.38713,0.499312,0.876997,0.777117,1.34801,0.113363,0.230755
0.092879819,0.000361784,1.4146,0.302434,0.933173,0.321939,1.59038,0.325965,0.594373,1.55619,0.869212,0.074555,0.33171
0.139319728,0.189557,1.72988,0.221815,0.867007,0.701199,1.26549,0.0584128,0.62278,2.02966,0.291352,0.162252,1.09106
0.185759637,0.137425,1.91908,0.200979,0.77138,1.23928,0.864526,0.0533798,0.323007,2.31988,0,0.538659,1.71034
0.232199546,0.123514,2.20039,0.172706,0.639185,1.55538,0.484044,0.266712,0.230234,2.11718,0,0.721243,1.92347
0.278639456,0.145787,2.35004,0.160831,0.548004,2.31825,0.387059,0.278344,0.144248,1.50456,0.132763,0.572674,1.44962
0.325079365,0.0307298,2.09292,0.0775208,0.368363,2.83388,0.480508,0.0347242,0.462224,0.438747,0.708153,0.136008,1.14582
0.371519274,0.0208412,1.93577,0.0833759,0.0229232,2.89196,0.0887989,0.0369344,0.594028,0.688446,1.22294,0.0552424,1.17641
0.417959184,0.000281366,1.77984,0.183403,0.0673714,2.81102,0.0491952,0.232603,0.514542,0.833903,1.28887,0,1.25593
0.464399093,0.00030831,2.16742,0.223142,0.0883523,2.71078,0.0499409,0.37453,0.407445,1.25989,1.2114,0,1.48122
0.510839002,1.3025e-05,2.8233,0.219956,0.115394,3.07715,0.163271,0.235845,0.19236,1.34462,1.01363,6.65535e-05,1.38263
0.557278912,0,3.30228,0.087307,0.151495,3.10466,0.158116,0.0265913,0.301971,1.98576,0.720409,0.000336508,0.836017
0.603718821,8.69631e-06,3.47341,0.0232287,0.150906,3.57316,0.181662,0.04638,0.238935,2.17201,0.282207,7.96405e-05,0.744364
0.650158730,0.0130308,3.40529,0.0120941,0.146557,3.72555,0.320149,0.048135,0.0407019,2.39801,0,0,1.06179
0.696598639,0.022643,3.34486,0.0224141,0.167585,3.69387,0.429026,0.059403,0.063056,2.17093,0,0.0490338,1.16353
0.743038549,0.0860431,3.09237,0.0148798,0.179503,3.40835,0.48777,0.0708506,0.240002,2.25712,0.0578725,0.0117887,1.29756
0.789478458,0.178917,3.07928,0.0569302,0.175588,3.28751,0.492173,0.0818624,0.357817,2.34779,0.000160687,0.108914,1.39782
0.835918367,9.46991e-05,3.1292,0.0542995,0.156294,3.01459,0.503048,0.101099,0.34608,2.25626,0.00242463,0.111373,1.37709
0.882358277,0.176412,3.06737,0.0214685,0.264569,2.3858,0.490759,0.144608,0.257418,2.10961,0.305123,0.0744455,1.13235
0.928798186,0.354937,3.27371,0.0270214,0.250896,0.783584,0.904028,0.197768,0.554862,1.70671,0.330115,0.000659354,0.396603
0.975238095,0.170239,3.29083,0.0596689,0.0313669,0.0398671,1.57359,0.243506,0.653497,1.56234,0.248397,0.105538,0.27297
1.021678005,0.155027,3.20171,0.33927,0.0349297,0.0315837,1.64122,0.182093,0.690278,1.45846,0.0700329,0.0871586,0.281266
1.068117914,0.270045,3.2175,0.407273,0.0273398,0.0260102,1.24391,0.103937,0.689855,1.39082,0.0584939,0.00191144,0.230033
1.114557823,0.268844,3.10843,0.340827,0.0157592,0.0930751,1.36167,0.214485,0.635397,1.43786,0,0.00848239,0.279651
1.160997732,0.313523,2.84647,0.31971,0.010409,0.171102,1.23957,0.408771,0.702965,1.24656,0,0.0530518,0.388412
1.207437642,0.540509,2.94244,0.333019,0.0181027,0.121701,1.23056,0.517937,0.741309,1.05519,0.00204826,0.117345,0.487535
1.253877551,0.124112,3.55866,0.263032,0.0405247,0.0388443,1.42765,0.451015,1.15628,1.14473,0.0637653,0.0933069,0.478918
1.300317460,0.000372816,4.17497,0.0116118,0.215523,0.00443521,1.52789,0.182948,0.923526,1.13357,0.0612356,0.00310742,0.623565
1.346757370,0.000801529,4.16349,0,0.144162,0,1.55566,0.088984,0.807658,1.22872,0.0527169,0,0.73694
1.393197279,0.000859087,3.89099,0.000315237,0.14321,0,1.49859,0.000523627,0.882811,1.24973,0.0771279,0,0.767092
1.439637188,0.000339188,3.72865,0.00647259,0.189122,0,1.41819,0,0.943332,1.18603,0.0398281,0.0307585,0.764937
1.486077098,0.000419688,3.74178,0.0832806,0.119418,0.351872,1.44176,0,0.719481,1.08328,0,0.00404137,0.862665
