TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
0.000000000,-357.382,77.8921,-30.9596,-9.90518,10.6533,-12.5921,-11.2341,-0.757081,-6.8417,-3.89268,4.2963,1.41077,-1.32856,-4.59259,-3.87401,-0.242874,-0.930946,-4.97233,0.163024,0.433676,0.269849
0.021333333,-333.848,71.1089,-39.5987,-16.0286,6.80245,-17.4952,-12.3501,-0.55767,-8.3732,-3.48064,2.51599,-1.42019,1.89763,2.1662,-2.01698,-0.938385,-1.54404,-4.31481,-0.469235,-0.440348,0.729092
0.042666667,-342.964,65.3301,-37.6499,-14.8064,6.94806,-19.1755,-14.0389,-4.48948,-11.0929,-4.81495,3.24756,3.015,-1.2918,-2.03632,-0.818158,0.552567,-0.00386413,-1.03528,1.5127,0.954072,1.50034
0.064000000,-341.718,65.3945,-40.4296,-15.4764,7.6285,-19.2949,-15.0991,-1.69566,-8.82944,-0.0316149,6.04609,2.22387,2.07651,-0.0365147,-2.3948,-2.05926,-2.1287,-1.47637,0.805771,0.954289,1.18009
0.085333333,-335.059,69.7823,-36.9547,-14.5103,7.67237,-17.0387,-11.6904,-1.4218,-7.7128,-1.818,1.71517,-0.301824,-1.90504,-2.59255,-2.68542,-0.643587,-0.307339,-2.14263,-0.744602,1.57892,1.62439
0.106666667,-337.819,72.5826,-27.3074,-13.178,8.19724,-17.2871,-12.9172,-0.833055,-9.23638,-5.01463,0.124529,-4.91319,-5.25041,-3.23628,-4.72089,-2.17876,-1.65868,-0.451695,-0.00378405,1.33607,1.39446
0.128000000,-341.407,73.8482,-27.8088,-15.5324,8.19473,-14.9431,-14.2413,-3.39011,-11.682,-5.66224,-0.295221,-2.58617,-3.64819,-1.28163,-3.41424,-3.33876,-3.29164,-2.16915,1.71734,3.36085,2.11257
0.149333333,-340.139,73.7643,-29.6199,-13.5012,9.80328,-15.6975,-12.8924,-4.16417,-11.5178,-5.88064,0.499739,-1.83818,-3.92159,-3.80691,-6.18985,-4.23906,-3.33765,-3.29615,2.25903,3.43601,1.09361
0.170666667,-338.818,72.9924,-30.8433,-13.4573,11.1054,-14.1366,-10.8996,-1.69184,-7.72473,-5.59931,0.70841,-3.53611,-6.92264,-4.76228,-4.70068,-1.99345,-3.34559,-1.25852,1.77578,2.96664,2.50117
0.192000000,-333.548,72.7939,-35.7698,-13.6255,9.13844,-18.2069,-11.2436,-0.886173,-8.86464,-4.85077,1.84864,-2.05785,-4.10852,-3.52399,-3.04525,-2.94733,-4.15897,-3.34362,-1.77246,2.0593,3.50151
